약국 이름,주소,경도,위도
백세가약국,전라남도 목포시 영산로 477 (상동),126.4163804,34.8086365
구세약국,전라남도 목포시 영산로 485 (상동),126.4166463,34.8093958
화도약국,인천광역시 강화군 화도면 마니산로 728 (),126.4173344,37.633158
종로프라자약국,전라남도 목포시 영산로 515 (상동),126.4177009,34.8116504
금호온누리약국,전라남도 목포시 영산로 519 (상동),126.4178779,34.8120346
옵티마현대약국,전라남도 목포시 섶나루길 126 (상동),126.4191739,34.8109786
바다약국,전라남도 목포시 백년대로 291 (상동),126.419575,34.803998
메디팜우성약국,전라남도 목포시 백년대로297번길 7 (상동),126.4196354,34.8044265
복음사랑약국,전라남도 목포시 백년대로297번길 8 (상동),126.4199034,34.804531
하당금호약국,전라남도 목포시 백년대로 295 (상동),126.4199762,34.8039717
한미약국,전라남도 목포시 백년대로307번길 7 (상동),126.4206117,34.8049284
신세계 온누리 약국,전라남도 목포시 백년대로 298 (상동),126.4206704,34.8035707
드림약국,전라남도 목포시 영산로 623 (석현동),126.421025,34.8213917
센트럴약국,전라남도 목포시 백년대로 304 (상동),126.4210695,34.8037227
태양약국,전라남도 목포시 옥암로 187 (석현동),126.4213109,34.8147091
대학약국,전라남도 목포시 영산로 627 2동 (석현동),126.4217794,34.8212626
목포하당종로약국,전라남도 목포시 신흥로 8 (상동),126.4221466,34.8013326
소명약국,전라남도 목포시 비파로124번길 1 1층 101호 (상동),126.4228404,34.8090941
행복한약국,전라남도 목포시 백년대로 325 (상동),126.422867,34.8053468
다온약국,"제주특별자치도 서귀포시 중문로 7 (중문동, 다온아파트)",126.4229522,33.2526973
율약국,제주특별자치도 서귀포시 중문로 1 (중문동),126.4229936,33.2519947
한독약국,전라남도 목포시 백년대로 327 목포복음내과 (상동),126.4230815,34.8054792
진고개약국,전라남도 목포시 석현로 18-2 (석현동),126.4231891,34.8160145
천제연약국,제주특별자치도 서귀포시 천제연로 174 (중문동),126.4232366,33.251718
열린약국,전라남도 목포시 옥암로 147 1층 (상동),126.4233809,34.8116003
한마음약국,전라남도 목포시 백년대로 331-1 (상동),126.4234796,34.8055906
지성약국,전라남도 목포시 옥암로 129 (상동),126.4244207,34.8100242
하당약국,전라남도 목포시 신흥로 32 (상동),126.4244727,34.8023921
율전약국,전라남도 목포시 부흥로 31 (옥암동),126.4251687,34.801381
정화약국,제주특별자치도 서귀포시 중문상로 36 (중문동),126.4254656,33.2514499
건강샘약국,전라남도 목포시 신흥로 44 (상동),126.4256574,34.8030362
전약국,전라남도 목포시 옥암로 101 (상동),126.4258022,34.8080187
중문약국,제주특별자치도 서귀포시 천제연로 200 (중문동),126.4260322,33.2515026
대웅약국,전라남도 목포시 옥암로 106-1 (옥암동),126.4261277,34.8086129
비타민약국,전라남도 목포시 하당로 278 (옥암동),126.426418,34.8110715
국민약국,제주특별자치도 서귀포시 천제연로208번길 2 (중문동),126.4267689,33.2514607
우리힐약국,전라남도 목포시 옥암로 77-1 (옥암동),126.4269251,34.8061287
한마음약국,제주특별자치도 서귀포시 천제연로 210-1 (중문동),126.4270366,33.2514762
이화약국,전라남도 목포시 녹색로 41 (석현동),126.4270375,34.82305
옵티마프라자약국,"인천광역시 중구 공항로 272 (운서동, 인천국제공항여객터미널 3층)",126.4276993,37.4583507
W-store 스타약국,"인천광역시 중구 공항로 272 (운서동, 인천국제공항여객터미널 3층)",126.4276993,37.4583507
밸런스약국,인천광역시 중구 공항로 272 인천공항제2여객터미널 지하1층 (운서동),126.4276993,37.4583507
목포하나로약국,전라남도 목포시 선곡로 33 (석현동),126.4285427,34.8190883
한사랑약국,전라남도 목포시 백년대로 391 1층 (옥암동),126.4289425,34.8082908
연합약국,전라남도 무안군 청계면 청계중앙길 8-8 (청계면),126.4291051,34.9105819
수약국,전라남도 목포시 원형서로 15 롯데마트목포점 (상동),126.429465,34.7972425
청계약국,전라남도 무안군 청계면 청계중앙길 3-1 (청계면),126.4295116,34.9099119
실로암약국,전라남도 목포시 부흥로 80 (옥암동),126.4298651,34.8032935
녹십자약국,충청남도 서산시 대산읍 매남길 13-14 (),126.430112,36.9422792
우리약국,전라남도 함평군 손불면 손불중앙길 75 75,126.4305198,35.1435869
